epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.735,1.43309,2.4515,0.01217,0.76622,0.80355,0.81781,0.48292,1.21815,1.06019,0.01166,0.00046641,0.00046641,0.00046641
2,66.8443,1.29745,1.27885,0.01074,0.63205,0.75609,0.75236,0.44939,1.29818,1.11386,0.01312,0.000927188,0.000927188,0.000927188
3,86.3464,1.29911,1.09337,0.01059,0.7968,0.83774,0.87621,0.51226,1.17885,0.80519,0.01175,0.00137225,0.00137225,0.00137225
4,106.75,1.28634,1.06489,0.01059,0.812,0.81939,0.87018,0.5509,1.20264,0.83946,0.01196,0.00135826,0.00135826,0.00135826
5,127.839,1.26155,0.97553,0.01047,0.79883,0.89242,0.89144,0.58897,1.11988,0.70088,0.01095,0.00133469,0.00133469,0.00133469
6,147.748,1.22794,0.93548,0.01027,0.83545,0.85642,0.89738,0.58894,1.19969,0.75781,0.01181,0.00131111,0.00131111,0.00131111
7,168.009,1.23783,0.94497,0.0103,0.7905,0.85058,0.88894,0.59558,1.12494,0.78129,0.01097,0.00128753,0.00128753,0.00128753
8,187.79,1.22248,0.89553,0.00996,0.78828,0.84241,0.87196,0.53168,1.26994,0.86855,0.01259,0.00126395,0.00126395,0.00126395
9,208.41,1.23881,0.87614,0.01007,0.85482,0.87109,0.90914,0.59769,1.07927,0.60581,0.01029,0.00124037,0.00124037,0.00124037
10,228.33,1.21745,0.86112,0.01001,0.8404,0.85687,0.89928,0.59863,1.1245,0.67923,0.01092,0.00121679,0.00121679,0.00121679
11,248.638,1.2158,0.8458,0.01015,0.82483,0.90119,0.90812,0.59651,1.09267,0.64887,0.01049,0.00119322,0.00119322,0.00119322
12,268.157,1.20895,0.82964,0.00985,0.79736,0.92502,0.91429,0.60896,1.09219,0.75738,0.01045,0.00116964,0.00116964,0.00116964
13,288.617,1.21107,0.83431,0.00998,0.85996,0.82121,0.89894,0.59253,1.13038,0.62541,0.01099,0.00114606,0.00114606,0.00114606
14,308.337,1.20284,0.81184,0.00992,0.80839,0.86283,0.87694,0.57904,1.12239,0.68545,0.01097,0.00112248,0.00112248,0.00112248
15,329.163,1.17426,0.79019,0.00943,0.81426,0.90221,0.90295,0.6036,1.11828,0.67881,0.01084,0.0010989,0.0010989,0.0010989
16,349.25,1.18624,0.80805,0.00968,0.81196,0.8916,0.90764,0.62903,1.07425,0.61849,0.01026,0.00107532,0.00107532,0.00107532
17,369.743,1.16403,0.78146,0.00959,0.80898,0.88004,0.88189,0.59535,1.11666,0.68566,0.0107,0.00105174,0.00105174,0.00105174
18,390.053,1.18372,0.77171,0.00976,0.82281,0.89588,0.91082,0.60049,1.10986,0.69148,0.0106,0.00102817,0.00102817,0.00102817
19,410.076,1.16193,0.76609,0.00946,0.81966,0.84626,0.89606,0.57898,1.16247,0.61552,0.01147,0.00100459,0.00100459,0.00100459
20,430.462,1.15464,0.75092,0.00944,0.80588,0.91301,0.90848,0.62011,1.07703,0.62608,0.01042,0.000981008,0.000981008,0.000981008
21,450.479,1.17064,0.75064,0.00951,0.82477,0.91674,0.90085,0.59054,1.14804,0.61493,0.01141,0.00095743,0.00095743,0.00095743
22,470.763,1.16295,0.75507,0.00951,0.83418,0.86556,0.90589,0.61227,1.04852,0.64403,0.01004,0.000933851,0.000933851,0.000933851
23,490.49,1.1481,0.7242,0.00923,0.83491,0.84272,0.89207,0.61868,1.02078,0.60274,0.00965,0.000910273,0.000910273,0.000910273
24,511.132,1.1203,0.72782,0.00896,0.84038,0.89968,0.91553,0.63576,1.01998,0.67596,0.00973,0.000886694,0.000886694,0.000886694
25,531.076,1.13603,0.72795,0.00915,0.87222,0.84966,0.90189,0.61239,1.07799,0.63944,0.01017,0.000863116,0.000863116,0.000863116
26,551.512,1.12756,0.70794,0.00899,0.79664,0.86981,0.88025,0.60106,1.05657,0.66084,0.01012,0.000839537,0.000839537,0.000839537
27,571.346,1.1316,0.72423,0.00922,0.80884,0.87061,0.89871,0.61272,1.04051,0.71565,0.00991,0.000815959,0.000815959,0.000815959
28,591.701,1.11601,0.70819,0.00895,0.83915,0.86216,0.90548,0.62846,1.06145,0.61285,0.01012,0.00079238,0.00079238,0.00079238
29,611.392,1.09557,0.68884,0.00887,0.80987,0.91585,0.90731,0.61935,1.09942,0.62548,0.01056,0.000768802,0.000768802,0.000768802
30,631.829,1.11368,0.69482,0.00905,0.82771,0.90985,0.8993,0.60892,1.0699,0.62434,0.01021,0.000745223,0.000745223,0.000745223
31,651.56,1.09956,0.68229,0.00878,0.81015,0.89022,0.90691,0.62434,1.03239,0.62298,0.00985,0.000721645,0.000721645,0.000721645
32,672.185,1.09683,0.67908,0.00877,0.86009,0.84588,0.90692,0.61823,1.03677,0.59888,0.00982,0.000698066,0.000698066,0.000698066
33,692.057,1.08478,0.66299,0.00865,0.78941,0.92277,0.90124,0.61195,1.04383,0.65145,0.00997,0.000674488,0.000674488,0.000674488
